Date,Open,High,Low,Close,Volume,Adj Close
2017-06-14 11:59:02,985.55,985.55,985.55,985.55,660463,985.55
2017-06-14 12:00:02,985.6,985.6,985.6,985.6,660463,985.6
2017-06-14 12:01:14,985.82,985.82,985.82,985.82,660463,985.82
2017-06-14 12:02:15,985.57,985.57,985.57,985.57,660463,985.57
2017-06-14 12:03:20,985.82,985.82,985.82,985.82,660463,985.82
2017-06-14 12:04:10,986.22,986.22,986.22,986.22,660463,986.22
2017-06-14 12:05:20,986.3,986.3,986.3,986.3,660463,986.3
2017-06-14 12:05:52,986.07,986.07,986.07,986.07,660463,986.07
2017-06-14 12:07:19,985.8,985.8,985.8,985.8,660463,985.8
2017-06-14 12:08:19,986.28,986.28,986.28,986.28,660463,986.28
2017-06-14 12:09:23,985.6,985.6,985.6,985.6,660463,985.6
2017-06-14 12:10:19,985.93,985.93,985.93,985.93,660463,985.93
2017-06-14 12:11:19,985.36,985.36,985.36,985.36,660463,985.36
2017-06-14 12:12:18,984.33,984.33,984.33,984.33,660463,984.33
2017-06-14 12:13:22,984.3,984.3,984.3,984.3,660463,984.3
2017-06-14 12:14:26,984.88,984.88,984.88,984.88,660463,984.88
2017-06-14 12:15:24,984.28,984.28,984.28,984.28,660463,984.28
2017-06-14 12:16:15,983.79,983.79,983.79,983.79,660463,983.79
2017-06-14 12:17:29,983.3,983.3,983.3,983.3,660463,983.3
2017-06-14 12:18:32,983.11,983.11,983.11,983.11,660463,983.11
2017-06-14 12:19:35,982.92,982.92,982.92,982.92,660463,982.92
2017-06-14 12:20:40,983.26,983.26,983.26,983.26,660463,983.26
2017-06-14 12:21:19,983.38,983.38,983.38,983.38,660463,983.38
2017-06-14 12:22:27,983.75,983.75,983.75,983.75,660463,983.75
2017-06-14 12:23:44,983.6,983.6,983.6,983.6,660463,983.6
2017-06-14 12:24:44,983.51,983.51,983.51,983.51,660463,983.51
2017-06-14 12:25:34,983.49,983.49,983.49,983.49,660463,983.49
2017-06-14 12:26:43,983.89,983.89,983.89,983.89,660463,983.89
2017-06-14 12:27:29,983.99,983.99,983.99,983.99,660463,983.99
2017-06-14 12:28:45,984.54,984.54,984.54,984.54,660463,984.54
2017-06-14 12:29:38,984.92,984.92,984.92,984.92,660463,984.92
2017-06-14 12:39:08,984.42,984.42,984.42,984.42,660463,984.42
2017-06-14 12:40:05,984.8,984.8,984.8,984.8,660463,984.8
2017-06-14 12:41:11,985.02,985.02,985.02,985.02,660463,985.02
2017-06-14 12:42:10,985.24,985.24,985.24,985.24,660463,985.24
2017-06-14 12:43:06,985.36,985.36,985.36,985.36,660463,985.36
2017-06-14 12:44:15,985.51,985.51,985.51,985.51,660463,985.51
2017-06-14 12:44:50,985.42,985.42,985.42,985.42,660463,985.42
2017-06-14 12:46:15,985.35,985.35,985.35,985.35,660463,985.35
2017-06-14 12:47:16,985.39,985.39,985.39,985.39,660463,985.39
2017-06-14 12:48:16,985.4,985.4,985.4,985.4,660463,985.4
